"DATE","DCOILBRENTEU","DCOILWTICO","DEXUSAL","DEXCAUS","DEXDNUS","DEXUSEU","DEXNOUS","DEXSDUS","DEXUSUK","OVX","DEXNOEU","DEXBZUS","DEXMXUS","CHFEUR","DEXJPUS","DEXSZUS"
1984-03-01,NA,NA,0.9362,1.2766,9.52,NA,7.51,7.72,1.4375,NA,NA,NA,NA,NA,225.2663636,2.1525
1984-04-01,NA,NA,0.919,1.2845,9.971,NA,7.733,7.985,1.398,NA,NA,NA,NA,NA,225.2,2.2465
1984-05-01,NA,NA,0.899,1.2946,10.049,NA,7.7915,8.082,1.3855,NA,NA,NA,NA,NA,230.4777273,2.26
1984-06-01,NA,NA,0.8615,1.3199,10.2025,NA,7.986,8.1795,1.3575,NA,NA,NA,NA,NA,233.5657143,2.331
1984-07-01,NA,NA,0.8265,1.3115,10.62,NA,8.36,8.43,1.3073,NA,NA,NA,NA,NA,243.067619,2.4725
1984-08-01,NA,NA,0.8488,1.2974,10.5125,NA,8.29,8.32,1.3075,NA,NA,NA,NA,NA,242.2608696,2.4095
1984-09-01,NA,NA,0.829,1.3183,11.1175,NA,8.86,8.687,1.234,NA,NA,NA,NA,NA,245.4568421,2.533
1984-10-01,NA,NA,0.8502,1.315,10.9685,NA,8.812,8.661,1.2185,NA,NA,NA,NA,NA,246.7545455,2.494
1984-11-01,NA,NA,0.8572,1.3242,11.186,NA,8.9735,8.84,1.197,NA,NA,NA,NA,NA,243.6305263,2.555
1984-12-01,NA,NA,0.825,1.3217,11.285,NA,9.09,8.985,1.158,NA,NA,NA,NA,NA,247.964,2.601
1985-01-01,NA,NA,0.8138,1.3272,11.2925,NA,9.16,9.04,1.1305,NA,NA,NA,NA,NA,254.1828571,2.675
1985-02-01,NA,NA,0.71,1.3835,11.96,NA,9.6,9.48,1.079,NA,NA,NA,NA,NA,260.4777778,2.857
1985-03-01,NA,NA,0.7,1.3675,11.02,NA,8.89,8.92,1.236,NA,NA,NA,NA,NA,257.9204762,2.6
1985-04-01,NA,NA,0.6445,1.367,11.1875,NA,8.9475,9.0125,1.241,NA,NA,NA,NA,NA,251.8454545,2.6
1985-05-01,NA,NA,0.6632,1.3745,11,NA,8.82,8.87,1.286,NA,NA,NA,NA,NA,251.7295455,2.575
1985-06-01,NA,NA,0.6685,1.3592,10.875,NA,8.8745,8.7425,1.3095,NA,NA,NA,NA,NA,248.84,2.541
1985-07-01,NA,NA,0.7226,1.354,10.0825,NA,8.205,8.285,1.411,NA,NA,NA,NA,NA,241.1363636,2.294
1985-08-01,NA,NA,0.7015,1.3659,10.2,NA,8.255,8.325,1.391,NA,NA,NA,NA,NA,237.4609091,2.31
1985-09-01,NA,NA,0.702,1.371,9.762,NA,7.975,8.05,1.4085,NA,NA,NA,NA,NA,236.5275,2.195
1985-10-01,NA,NA,0.699,1.3668,9.506,NA,7.8725,7.876,1.4405,NA,NA,NA,NA,NA,214.6804545,2.151
1985-11-01,NA,NA,0.6859,1.384,9.11,NA,7.594,7.6355,1.489,NA,NA,NA,NA,NA,204.0736842,2.081
1985-12-01,NA,NA,0.6818,1.3985,8.935,NA,7.58,7.575,1.445,NA,NA,NA,NA,NA,202.7880952,2.06
1986-01-01,NA,18.95,0.7138,1.4233,8.825,NA,7.4575,7.5325,1.412,NA,NA,NA,NA,NA,199.8904762,2.036
1986-02-01,NA,13.23,0.6993,1.423,8.25,NA,7.0325,7.2005,1.446,NA,NA,NA,NA,NA,184.8515789,1.888
1986-03-01,NA,10.25,0.7116,1.397,8.654,NA,7.3,7.37,1.4735,NA,NA,NA,NA,NA,178.6938095,1.956
1986-04-01,NA,13.38,0.7407,1.3738,8.02,NA,6.9575,7.007,1.551,NA,NA,NA,NA,NA,175.0918182,1.813
1986-05-01,NA,14.3,0.7148,1.3797,8.6055,NA,7.84,7.3905,1.4723,NA,NA,NA,NA,NA,167.0314286,1.9335
1986-06-01,NA,12.8,0.6735,1.387,8.155,NA,7.5075,7.128,1.532,NA,NA,NA,NA,NA,167.5419048,1.7965
1986-07-01,NA,11.23,0.5959,1.3795,7.906,NA,7.419,6.976,1.4915,NA,NA,NA,NA,NA,158.6059091,1.678
1986-08-01,NA,15.93,0.609,1.3881,7.7,NA,7.3,6.89,1.488,NA,NA,NA,NA,NA,154.1771429,1.641
1986-09-01,NA,14.7,0.6279,1.3888,7.661,NA,7.36,6.91,1.4468,NA,NA,NA,NA,NA,154.7314286,1.647
1986-10-01,NA,15.25,0.6408,1.3905,7.771,NA,7.519,7.038,1.4055,NA,NA,NA,NA,NA,156.4722727,1.711
1986-11-01,NA,15,0.6504,1.384,7.4575,NA,7.511,6.8775,1.4335,NA,NA,NA,NA,NA,162.8494444,1.643
1986-12-01,NA,17.93,0.6653,1.381,7.2875,NA,7.375,6.741,1.4825,NA,NA,NA,NA,NA,162.0522727,1.614
1987-01-01,NA,18.73,0.6618,1.339,6.945,NA,7.05,6.5425,1.514,NA,NA,NA,NA,NA,154.8295,1.546
